ocm_id,operator,usage_type,status,is_operational,address1,address2,town,state_province,postcode,country,latitude,longitude,title,num_points,connector_types,max_power_kw,all_connector_powers_kw,connection_statuses,borough,borough_density_km2,uk_avg_util_pct,uk_avg_energy_kWh,uk_usage_rows,priority_score,last_status_update,last_verified,submission_status,data_provider
253415,Ev Dot,Public - Pay At Location,Not Operational,False,Rainsford Road,nan,Chelmsford,England,CM1 2XB,GB,51.507351,-0.127758,BMM-CP-000504,1.0,Type 2 (Socket Only); Type 2 (Socket Only),7.0,7,Operational,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,78,0.1314369876364688,2023-05-04 08:44:00+00:00,2023-05-04 08:44:00+00:00,Imported and Published,UK National Charge Point Registry
4396,Independent Operator,Public,Operational,True,Spring Garden,Westminster,London,London,SW1A 2BN,GB,51.507291,-0.128896,Masterpark Trafalgar Square Car Park,1.0,nan,4.8,nan,nan,Westminster,13608.4,50.21666666666667,36.88102564102565,78,0.2092035802310401,2011-05-17 17:23:00+00:00,2011-05-17 17:23:00+00:00,Submission Published,Open Charge Map Contributors
52877,Bp Pulse (Uk),Public - Membership Required,Operational,True,Spring Gardens,City of Westminster,London,London,SW1A 2TS,GB,51.507099,-0.130117,Q-Park Trafalgar Car Park,8.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,3; 7,Operational,Westminster,13608.4,50.21666666666667,36.88102564102565,78,0.2210096183037528,2023-04-03 16:58:00+00:00,2023-04-03 16:58:00+00:00,Submission Published,Open Charge Map Contributors
146490,Virta,"Private - For Staff, Visitors Or Customers",Operational,True,440 Strand,Covent Garden,London,London,WC2R 0QS,GB,51.50890313863235,-0.1255337882317917,Coutts Bank,1.0,Type 2 (Socket Only),7.0,7,Operational,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,78,0.1314369876364688,2020-01-10 10:18:00+00:00,2020-01-10 10:18:00+00:00,Submission Published,Open Charge Map Contributors
4399,Bp Pulse (Uk),Public - Membership Required,Operational,True,Whitcomb Street,Westminster,London,London,WC2H 7DT,GB,51.509162,-0.13065,Q-Park Leicester Square Car Park,4.0,Type 2 (Socket Only),4.0,4,Operational,Westminster,13608.4,50.21666666666667,36.88102564102565,78,0.2125069885532915,2023-04-03 17:00:00+00:00,2023-04-03 17:00:00+00:00,Submission Published,Open Charge Map Contributors
170689,Pod Point (Uk),Public - Membership Required,Operational,True,Whitehall Place,nan,Westminster,London,SW1A 2BD,GB,51.506477,-0.12377,Westminster-Whitehall Place,2.0,Type 2 (Socket Only),7.0,7,Operational,Westminster,13608.4,50.21666666666667,36.88102564102565,78,0.212790440221561,2024-11-19 06:21:00+00:00,2024-11-19 06:21:00+00:00,Submission Published,Open Charge Map Contributors
104898,Bp Pulse (Uk),Public - Membership Required,Operational,True,Saint Martins Lane Hotel,nan,45 Saint Martin's Lane,London,WC2N 4HX,GB,51.510475,-0.126729,Saint Martins Lane Hotel,2.0,CCS (Type 2); CHAdeMO; Type 2 (Tethered Connector),50.0,43; 50,Operational,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,78,0.1761390642880579,2023-08-23 10:23:00+00:00,2023-08-23 10:23:00+00:00,Submission Published,Open Charge Map Contributors
253530,Shell Recharge Solutions (Uk),Public - Pay At Location,Not Operational,False,Junc. Bedfordbury,nan,London,London,WC2N 4DQ,GB,51.510492,-0.125554,Junc. Bedfordbury,1.0,Type 2 (Socket Only),5.0,5,Operational,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,78,0.1294215358393576,2023-05-04 09:46:00+00:00,2023-05-04 09:46:00+00:00,Imported and Published,UK National Charge Point Registry
99712,Pod Point (Uk),"Private - For Staff, Visitors Or Customers",Operational,True,5 - 7 Carlton Gardens,nan,London,London,SW1Y 5AD,GB,51.506042,-0.133653,Stirling Square,4.0,Type 2 (Socket Only),7.0,7,Unknown,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,78,0.1355465766775647,2023-10-09 13:27:00+00:00,2023-10-09 13:27:00+00:00,Submission Published,Open Charge Map Contributors
107862,Bp Pulse (Uk),Public - Membership Required,Operational,True,St James Square,Westminster,London,London,SW1Y 4PD,GB,51.507729,-0.13457,St James Square,2.0,Type 2 (Socket Only),7.0,7,Operational,Westminster,13608.4,50.21666666666667,36.88102564102565,78,0.212790440221561,2019-03-05 06:24:00+00:00,2019-03-05 06:24:00+00:00,Submission Published,Open Charge Map Contributors
