OCM_ID,Operator,OperatorWebsite,UsageType,Status,IsOperational,AddressLine1,AddressLine2,Town,StateOrProvince,Postcode,Country,Latitude,Longitude,Title,NumberOfPoints,ConnectorTypes,MaxPowerKW,AllConnectorPowersKW,ConnectionStatuses,DataProvider,DateLastStatusUpdate,DateLastVerified,SubmissionStatus
253415,EV Dot,https://www.ev-dot.com,Public - Pay At Location,,,Rainsford Road,,Chelmsford,,CM1 2XB,GB,51.507351,-0.127758,BMM-CP-000504,,Type 2 (Socket Only); Type 2 (Socket Only),7.0,7,Operational,UK National Charge Point Registry,2023-05-04T08:44:00Z,2023-05-04T08:44:00Z,Imported and Published
4396,(Unknown Operator),,,Operational,True,Spring Garden,Westminster,London,,SW1A 2BN,GB,51.507291,-0.128896,Masterpark Trafalgar Square Car Park,,,,,,Open Charge Map Contributors,2011-05-17T17:23:00Z,2011-05-17T17:23:00Z,Submission Published
52877,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Spring Gardens,City of Westminster,London,,SW1A 2TS,GB,51.507099,-0.130117,Q-Park Trafalgar Car Park,8.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,3; 7,Operational,Open Charge Map Contributors,2023-04-03T16:58:00Z,2023-04-03T16:58:00Z,Submission Published
146490,VIRTA,http://virta.fi/,"Private - For Staff, Visitors or Customers",Operational,True,440 Strand,Covent Garden,London,,WC2R 0QS,GB,51.50890313863235,-0.12553378823179173,Coutts Bank,1.0,Type 2 (Socket Only),7.0,7,Operational,Open Charge Map Contributors,2020-01-10T10:18:00Z,2020-01-10T10:18:00Z,Submission Published
4399,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Whitcomb Street,Westminster,London,,WC2H 7DT,GB,51.509162,-0.13065,Q-Park Leicester Square Car Park,4.0,Type 2 (Socket Only),4.0,4,Operational,Open Charge Map Contributors,2023-04-03T17:00:00Z,2023-04-03T17:00:00Z,Submission Published
170689,POD Point (UK),http://www.pod-point.com/,Public - Membership Required,Operational,True,Whitehall Place,,Westminster,London,SW1A 2BD,GB,51.506477,-0.12377,Westminster-Whitehall Place,2.0,Type 2 (Socket Only),7.0,7,Operational,Open Charge Map Contributors,2024-11-19T06:21:00Z,2024-11-19T06:21:00Z,Submission Published
104898,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Saint Martins Lane Hotel,,45 Saint Martin's Lane,London,WC2N 4HX,GB,51.510475,-0.126729,Saint Martins Lane Hotel,2.0,CCS (Type 2); CHAdeMO; Type 2 (Tethered Connector) ,50.0,43; 50,Operational,Open Charge Map Contributors,2023-08-23T10:23:00Z,2023-08-23T10:23:00Z,Submission Published
253530,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,Junc. Bedfordbury,,London,,WC2N 4DQ,GB,51.510492,-0.125554,Junc. Bedfordbury,,Type 2 (Socket Only),5.0,5,Operational,UK National Charge Point Registry,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published
99712,POD Point (UK),http://www.pod-point.com/,"Private - For Staff, Visitors or Customers",Unknown,,5 - 7 Carlton Gardens,,London,,SW1Y 5AD,GB,51.506042,-0.133653,Stirling Square,4.0,Type 2 (Socket Only),7.0,7,Unknown,Open Charge Map Contributors,2023-10-09T13:27:00Z,2023-10-09T13:27:00Z,Submission Published
107862,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,St James Square,Westminster,London,,SW1Y 4PD,GB,51.507729,-0.13457,St James Square,2.0,Type 2 (Socket Only),7.0,7,Operational,Open Charge Map Contributors,2019-03-05T06:24:00Z,2019-03-05T06:24:00Z,Submission Published
129386,Charge Your Car,http://www.chargeyourcar.org.uk/,Public - Membership Required,Operational,True,St James's Square,,,,SW1Y 4PD,GB,51.50773,-0.13457,St James's Square,1.0,Type 2 (Socket Only),7.0,7,Operational,Open Charge Map Contributors,2019-07-19T05:13:00Z,2019-07-19T05:13:00Z,Submission Published
4413,(Unknown Operator),,,Operational,True,Newport Place,Westminster,London,,WC2H 7PU,GB,51.512046,-0.129753,Masterpark Chinatown Car Park,,,,,,Open Charge Map Contributors,2011-05-17T17:23:00Z,2011-05-17T17:23:00Z,Submission Published
253591,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,5 Upper St Martin's Lane,,London,,WC2H 9NY,GB,51.512373,-0.12711,5 Upper St Martin's Lane,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published
128396,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Q-Park Chinatown,,20 Newport Place,London,WC2H 7PR,GB,51.512299,-0.129615,Q-Park Chinatown,10.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only); Type 2 (Tethered Connector) ; CCS (Type 2); CHAdeMO,50.0,3; 43; 50; 7,Operational,Open Charge Map Contributors,2023-04-03T16:57:00Z,2023-04-03T16:57:00Z,Submission Published
46743,Total Energies (UK),https://chargingservices.totalenergies.com/en/home/united-kingdom,Public - Pay At Location,Operational,True,Southampton Street,City of Westminster,London,,WC2E 7HE,GB,51.5109927464186,-0.122040510177612,Southampton Street,2.0,Type 2 (Socket Only); Type 2 (Socket Only),22.0,22,Operational,Open Charge Map Contributors,2025-06-14T18:44:00Z,2025-06-14T18:44:00Z,Submission Published
253607,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,,,20 Newport Place,,London,,WC2H 7PR,GB,51.512699,-0.130012,Q-Park Chinatown,,BS1363 3 Pin 13 Amp; BS1363 3 Pin 13 Amp,3.0,3,Operational,UK National Charge Point Registry,2023-05-04T08:44:00Z,2023-05-04T08:44:00Z,Imported and Published
285956,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,Unknown,,33 King Charles Street,,London,,SW1A 2AH,GB,51.501845,-0.127892,33 King Charles Street,,Type 2 (Socket Only),5.0,5,Operational,UK National Charge Point Registry,2023-12-07T08:10:00Z,2023-12-07T08:10:00Z,Imported and Published
253610,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,,,20 Newport Place,,London,,WC2H 7PR,GB,51.512798,-0.130113,Q-Park Chinatown,,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),22.0,22; 3,Operational,UK National Charge Point Registry,2023-05-04T08:44:00Z,2023-05-04T08:44:00Z,Imported and Published
4409,(Unknown Operator),,,Operational,True,2 Lexington Street,Westminster,London,,W1F 0LA,GB,51.511865,-0.134884,NCP Brewer Street - Chargepost 1,,,,,,Open Charge Map Contributors,2011-05-17T17:23:00Z,2011-05-17T17:23:00Z,Submission Published
253549,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,null,,London,,W1F 9UN,GB,51.511428,-0.135708,Shell Recharge/Ubitricity,,Type 2 (Socket Only),5.0,5,Operational,UK National Charge Point Registry,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published
253565,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,,,City of London,,London,,WC2E 7DU,GB,51.511902,-0.119569,Exeter Street,,BS1363 3 Pin 13 Amp; BS1363 3 Pin 13 Amp,3.0,3,Operational,UK National Charge Point Registry,2023-05-04T08:44:00Z,2023-05-04T08:44:00Z,Imported and Published
5832,Elektromotive (UK),http://www.elektromotive.com,Public - Membership Required,Operational,True,Belvedere Road,,Lambeth,London,SE1 8XU,GB,51.5052551,-0.1168898,Belvedere Road Car Park,1.0,BS1363 3 Pin 13 Amp,,,,Open Charge Map Contributors,2014-09-13T03:56:00Z,2014-09-13T03:56:00Z,Submission Published
253213,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,null,,London,,SW1H 9AB,GB,51.501,-0.13328,Shell Recharge/Ubitricity,,Type 2 (Socket Only),5.0,5,Operational,UK National Charge Point Registry,2023-05-04T09:45:00Z,2023-05-04T09:45:00Z,Imported and Published
19466,BP Pulse (UK),https://www.bppulse.co.uk/,Public - Membership Required,Operational,True,Opposite 17 Exeter Street,Westminster,London,,WC2E 7DU,GB,51.51229585,-0.119148037008377,Exeter Street,2.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,3; 7,Operational; Unknown,Open Charge Map Contributors,2023-04-03T16:57:00Z,2023-04-03T16:57:00Z,Submission Published
132780,Total Energies (UK),https://chargingservices.totalenergies.com/en/home/united-kingdom,Public - Membership Required,Operational,True,33 Golden Square,,London,,W1F 9JT,GB,51.511818,-0.137617,Golden Square,1.0,Type 2 (Socket Only),22.0,22,Operational,Open Charge Map Contributors,2019-10-07T08:07:00Z,2019-10-07T08:07:00Z,Submission Published
187712,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,23 Queen Anne's Gate,,London,,SW1H 9BU,GB,51.500544,-0.133597,23 Queen Anne's Gate,,Type 2 (Socket Only),3.7,3.7,Operational,UK National Charge Point Registry,2023-05-04T09:45:00Z,2023-05-04T09:45:00Z,Imported and Published
67840,POD Point (UK),http://www.pod-point.com/,"Private - For Staff, Visitors or Customers",Unknown,,19-25 Broadwick Street,Soho,London,,W1F 0DF,GB,51.513535,-0.135519,Trenchard House,4.0,Type 2 (Socket Only),7.0,7,Unknown,Open Charge Map Contributors,2023-10-09T13:23:00Z,2023-10-09T13:23:00Z,Submission Published
5510,(Unknown Operator),,Public,Operational,True,Parker Street,Parker Mews,,London,WC2b 5NT,GB,51.51422,-0.12136,NCP Car Park Drury Lane,1.0,,,,,Open Charge Map Contributors,2014-09-13T03:56:00Z,2014-09-13T03:56:00Z,Submission Published
253707,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,Operational,True,Opp.,,London,,W1D 3QR,GB,51.514955000000526,-0.13209300000221447,Soho Square South Side,1.0,Type 2 (Socket Only),5.0,5,Operational,Open Charge Map Contributors,2025-05-01T00:23:00Z,2025-05-01T00:23:00Z,Imported and Published
253685,Shell Recharge Solutions (UK),https://shellrecharge.com/en-gb/solutions,Public - Pay At Location,,,null,,London,,W1F 8WG,GB,51.514418,-0.134767,Shell Recharge/Ubitricity,,Type 2 (Socket Only),5.0,5,Operational,UK National Charge Point Registry,2023-05-04T09:46:00Z,2023-05-04T09:46:00Z,Imported and Published
