operator,status,is_operational,latitude,longitude,num_points,connector_types,max_power_kw,borough,borough_density_km2,uk_avg_util_pct,uk_avg_energy_kWh,priority_score,stations_per_borough,operational_flag,usage_Private - Restricted Access,usage_Privately Owned - Notice Required,usage_Public,usage_Public - Membership Required,usage_Public - Pay At Location,avg_power_per_connector,has_fast_charger,cluster
Ev Dot,Not Operational,False,51.507351,-0.127758,1.0,Type 2 (Socket Only); Type 2 (Socket Only),7.0,Outer London,9318.948648648648,50.21666666666667,36.88102564102565,0.1314369876364688,7950,0,False,False,False,False,True,7.0,0,0
Independent Operator,Operational,True,51.507291,-0.128896,1.0,0,4.8,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2092035802310401,476,1,False,False,True,False,False,4.8,0,2
Bp Pulse (Uk),Operational,True,51.507099,-0.130117,8.0,BS1363 3 Pin 13 Amp; Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2210096183037528,476,1,False,False,False,True,False,7.0,0,2
Virta,Operational,True,51.50890313863235,-0.1255337882317917,1.0,Type 2 (Socket Only),7.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1314369876364688,476,1,False,False,False,False,False,7.0,0,1
Bp Pulse (Uk),Operational,True,51.509162,-0.13065,4.0,Type 2 (Socket Only),4.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.2125069885532915,476,1,False,False,False,True,False,4.0,0,2
Pod Point (Uk),Operational,True,51.506477,-0.12377,2.0,Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.212790440221561,476,1,False,False,False,True,False,7.0,0,2
Bp Pulse (Uk),Operational,True,51.510475,-0.126729,2.0,CCS (Type 2); CHAdeMO; Type 2 (Tethered Connector),50.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1761390642880579,476,1,False,False,False,True,False,50.0,1,3
Shell Recharge Solutions (Uk),Not Operational,False,51.510492,-0.125554,1.0,Type 2 (Socket Only),5.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1294215358393576,476,0,False,False,False,False,True,5.0,0,1
Pod Point (Uk),Operational,True,51.506042,-0.133653,4.0,Type 2 (Socket Only),7.0,Westminster,9318.948648648648,50.21666666666667,36.88102564102565,0.1355465766775647,476,1,False,False,False,False,False,7.0,0,1
Bp Pulse (Uk),Operational,True,51.507729,-0.13457,2.0,Type 2 (Socket Only),7.0,Westminster,13608.4,50.21666666666667,36.88102564102565,0.212790440221561,476,1,False,False,False,True,False,7.0,0,2
